month,행정동코드,성별,연령대,총인구,1인가구수,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,카카오톡 비사용 인구수,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수
01,1111000000,0,20,14276,5494,79.85,124.6,2429.2200000000003,17745.989999999998,71.04,222931.15,319.45,153.94,4.9,2403.1099999999997,329.63,319.52,131.04,459.97,644.03,290.78,21349070.32,5877980.02,19170.39,11023.92,303.57,2659.1499999999996,3969.9300000000003,4877.45,1482.29,9.260000000000002,-5.71,634.21,92.75,33.4
01,1111000000,0,30,12013,3908,64.37,92.67,2247.48,18816.68,79.28,218580.59000000003,333.82000000000005,482.69000000000005,5.83,2539.08,401.93,557.89,193.26,379.93,761.0899999999999,325.72,19572149.32,5560415.54,24416.22,14188.289999999999,343.11,2304.4700000000003,4885.23,6294.5,1592.8200000000002,4.53,-6.79,685.61,98.65,40.08
01,1111000000,0,40,13015,2401,59.150000000000006,84.36,2301.5,18792.95,74.11,194181.5,286.49,819.8299999999999,1.9500000000000002,2470.89,444.47,637.91,208.84,244.06,768.2,318.7,20094351.259999998,5736087.1,27749.620000000003,14304.779999999999,336.37,2202.84,4524.21,6172.62,1429.7,-0.33999999999999997,-10.74,546.72,100.53999999999999,41.75
01,1111000000,0,50,12905,2017,54.93000000000001,80.42,2283.14,18366.09,67.61,163839.31,309.37,793.96,-0.5,2183.95,478.28999999999996,639.65,197.22,136.01,730.47,306.99,20992317.78,5992001.83,27220.91,14507.759999999998,316.83,1769.49,3192.13,4367.28,1104.62,-2.6900000000000004,-15.98,413.27,97.63,28.389999999999997
01,1111000000,0,60,7887,1623,52.89,80.05000000000001,2282.2,17667.43,58.379999999999995,163703.16999999998,257.09,508.51,-1.6400000000000001,1819.05,421.91,577.14,174.64,74.67,661.7,297.36,22715981.060000002,6472288.109999999,23477.25,13643.7,291.71000000000004,1460.33,1878.99,2680.1800000000003,801.46,-4.640000000000001,-20.06,309.44,50.02,23.38
01,1111000000,1,20,14294,5705,68.59,105.67,2066.5299999999997,17957.92,75.18,222124.99,326.68,100.14,2.38,2401.48,381.38,257.56,140.51,286.4,699.64,298.43,21085549.85,5904171.73,18784.83,11425.44,317.5,1416.27,3732.05,5382.02,1217.09,4.33,-4.96,585.7,78.97999999999999,53.44
01,1111000000,1,30,11260,3387,59.84,92.63,1897.1100000000001,17952.93,75.75,212883.81,286.56,309.47,2.66,2201.7799999999997,389.68,397.05999999999995,187.17000000000002,241.76,668.01,299.82000000000005,21520429.0,6033196.57,17884.2,12444.89,289.37,1519.54,4527.43,7217.58,1409.2800000000002,0.81,-6.84,612.59,95.6,53.44
01,1111000000,1,40,13385,2280,54.230000000000004,83.68,1995.7800000000002,17511.84,82.35,205315.99,257.65,405.41999999999996,-0.47,2545.84,477.35,480.26,205.53,159.20999999999998,640.78,273.01,23296572.020000003,6623405.9399999995,17005.1,10988.6,256.9,1601.4099999999999,4086.46,7088.52,1271.17,-2.26,-10.62,528.8399999999999,93.77,50.099999999999994
01,1111000000,1,50,13299,1980,52.57,83.0,2055.56,17710.04,76.25,201985.02,219.69,497.31,-2.08,2569.2,485.9,500.40999999999997,185.18,81.32,629.24,271.79999999999995,23685362.11,6769684.52,16896.01,11911.279999999999,245.04,1433.5,2871.7799999999997,4988.74,860.23,-4.859999999999999,-16.0,373.22,87.28999999999999,43.42
01,1111000000,1,60,8754,1798,52.379999999999995,85.23,2095.21,16457.56,66.00999999999999,171936.49,193.09,498.90999999999997,-3.2700000000000005,2449.51,413.76,476.14,151.03,45.41,537.01,249.13,25432282.14,7265505.6899999995,15166.2,10918.43,219.77,1341.97,1576.56,2849.8999999999996,613.1099999999999,-6.4,-20.060000000000002,340.15,25.86,31.729999999999997
