month,행정동코드,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체)
01,1111000000,0,20,837,314,32.68,45.88,38.94,50.17,24.06,21.4,50.54,27.44,33.71,23.88
01,1111000000,0,30,706,228,30.38,32.35,23.07,27.85,22.08,34.21,29.24,26.08,22.34,22.71
01,1111000000,0,40,764,145,26.05,23.83,16.08,20.26,30.03,16.36,23.61,14.06,12.46,29.55
01,1111000000,0,50,759,120,20.2,20.0,13.43,19.01,28.94,6.76,19.37,15.9,13.49,31.05
01,1111000000,0,60,464,97,13.31,13.33,12.09,12.11,13.18,2.57,12.24,10.19,7.62,13.96
01,1111000000,1,20,840,334,25.84,35.63,35.3,37.38,13.17,23.88,30.84,28.1,23.93,13.21
01,1111000000,1,30,662,193,17.95,25.67,14.97,22.25,14.57,25.19,21.88,18.12,15.8,16.31
01,1111000000,1,40,787,134,11.7,22.27,9.93,17.17,12.71,12.27,16.25,13.65,11.86,16.77
01,1111000000,1,50,782,117,11.64,19.34,7.91,19.54,17.45,5.14,17.71,12.44,12.0,25.37
01,1111000000,1,60,515,106,10.24,18.84,9.19,16.07,14.7,1.94,14.92,10.02,8.68,18.59
01,1114000000,0,20,675,229,23.29,26.52,33.37,28.62,15.85,19.61,27.46,22.06,29.69,14.62
01,1114000000,0,30,775,241,31.76,27.58,38.3,25.89,21.02,41.99,29.72,24.03,24.17,18.47
01,1114000000,0,40,740,171,30.23,26.25,29.27,25.98,29.24,16.3,30.18,17.58,16.36,31.25
01,1114000000,0,50,715,125,22.7,17.91,17.93,19.84,30.87,6.51,21.35,15.4,14.48,30.37
01,1114000000,0,60,464,98,13.73,11.31,17.1,11.67,14.6,2.51,11.65,9.54,8.89,14.85
01,1114000000,1,20,675,258,20.41,20.17,36.93,20.06,6.83,22.66,16.95,23.1,26.0,9.32
01,1114000000,1,30,710,196,17.06,22.24,21.53,19.18,12.06,30.99,18.88,16.95,18.3,13.88
01,1114000000,1,40,683,142,14.37,23.5,18.49,19.86,15.62,11.56,20.89,15.87,12.92,19.51
01,1114000000,1,50,742,119,12.88,18.4,13.51,19.43,21.73,4.95,19.2,11.88,11.55,27.52
01,1114000000,1,60,516,110,10.85,17.12,15.76,15.39,15.61,2.11,14.88,9.93,9.94,17.89
01,1117000000,0,20,961,285,30.54,32.7,28.35,30.06,20.58,25.29,36.21,33.87,32.33,21.28
01,1117000000,0,30,1255,387,46.49,40.88,36.56,32.31,28.64,63.53,37.39,42.81,36.84,27.25
01,1117000000,0,40,1234,227,31.58,26.54,25.37,21.42,32.69,28.86,25.32,23.64,22.09,34.44
01,1117000000,0,50,1078,141,20.13,15.86,14.57,12.99,32.51,11.64,14.87,17.98,18.98,31.38
01,1117000000,0,60,668,110,16.0,11.3,16.87,10.01,15.04,4.18,10.92,10.67,9.51,14.1
01,1117000000,1,20,1046,340,26.64,30.35,33.91,27.85,13.9,30.45,22.79,30.49,28.25,12.63
01,1117000000,1,30,1248,350,24.98,36.62,26.0,25.57,14.78,48.95,27.27,32.17,23.31,15.37
01,1117000000,1,40,1200,208,17.68,26.79,14.55,20.2,19.35,19.41,19.42,21.75,18.02,19.52
01,1117000000,1,50,1141,148,12.07,18.64,11.51,15.07,20.11,8.17,15.41,15.96,17.23,21.51
01,1117000000,1,60,779,134,11.4,20.3,14.61,15.94,16.68,3.06,14.79,14.54,11.79,19.62
01,1120000000,0,20,1408,397,38.51,48.29,49.65,53.02,34.62,36.6,51.4,30.91,47.73,30.74
01,1120000000,0,30,1541,345,41.89,30.41,43.19,32.05,36.84,81.69,37.01,34.48,35.49,34.52
01,1120000000,0,40,1482,212,29.34,17.94,27.1,19.27,37.5,35.04,22.4,19.99,20.68,31.43
01,1120000000,0,50,1389,171,22.63,13.71,21.78,14.97,35.48,14.4,17.24,19.79,21.05,29.34
01,1120000000,0,60,837,122,14.27,9.34,20.26,11.07,15.86,4.81,10.91,10.97,9.65,12.31
01,1120000000,1,20,1342,379,27.55,28.97,45.46,30.33,18.56,42.15,27.18,30.48,31.45,20.11
01,1120000000,1,30,1496,292,19.22,22.1,27.54,24.93,17.78,64.53,23.02,24.92,22.93,17.25
01,1120000000,1,40,1424,190,13.31,18.22,16.24,18.83,20.21,24.48,16.87,17.6,18.27,20.24
01,1120000000,1,50,1413,168,12.82,16.5,17.12,17.82,22.74,10.62,17.46,14.31,18.35,24.15
01,1120000000,1,60,908,144,10.87,14.32,18.42,15.78,14.72,3.68,14.67,14.04,11.85,18.23
01,1121500000,0,20,2146,720,72.92,92.62,85.3,85.51,50.56,52.46,82.53,67.26,89.31,47.43
01,1121500000,0,30,2165,646,77.98,74.68,64.12,61.16,56.74,103.53,68.68,71.35,74.16,56.35
01,1121500000,0,40,1979,323,43.61,37.41,34.43,29.32,48.48,43.74,36.5,33.97,34.22,46.56
01,1121500000,0,50,1894,256,34.8,27.09,28.57,21.74,45.63,18.9,25.27,34.56,31.34,44.29
01,1121500000,0,60,1107,173,20.09,15.27,26.32,13.59,21.78,6.74,13.91,16.91,13.44,19.5
01,1121500000,1,20,2265,854,54.41,76.58,97.05,64.57,26.47,67.3,52.04,74.56,79.31,31.03
01,1121500000,1,30,2103,593,39.5,61.49,47.11,50.32,27.58,87.6,43.2,54.46,60.41,30.32
01,1121500000,1,40,2038,314,22.31,43.39,24.75,33.82,30.78,33.23,30.51,33.04,33.32,36.47
01,1121500000,1,50,2011,277,22.91,32.91,23.89,29.92,33.43,14.37,29.59,28.64,30.69,41.14
01,1121500000,1,60,1202,206,15.25,26.28,25.38,23.2,20.88,4.83,21.06,21.05,17.81,26.08
01,1123000000,0,20,2326,885,87.7,118.71,108.65,139.98,60.83,55.74,123.75,68.39,106.51,58.54
01,1123000000,0,30,2113,464,57.13,53.38,53.88,50.72,53.77,104.83,53.72,50.13,56.51,52.48
01,1123000000,0,40,2050,277,36.73,26.39,35.29,26.09,52.12,44.39,30.88,26.74,30.77,48.73
01,1123000000,0,50,1960,245,32.08,22.63,30.1,24.24,54.6,18.94,26.78,29.08,30.17,49.98
01,1123000000,0,60,1330,218,27.75,19.36,37.11,21.54,30.93,7.18,20.86,20.61,17.77,26.89
01,1123000000,1,20,2254,938,67.22,96.91,121.79,107.86,29.14,64.2,81.59,69.94,75.72,30.5
01,1123000000,1,30,1954,398,25.53,38.52,35.66,39.96,29.65,78.63,32.65,34.69,38.09,31.66
01,1123000000,1,40,1922,249,16.52,29.04,18.78,29.0,31.44,30.85,24.31,24.01,26.2,37.2
01,1123000000,1,50,2044,259,21.03,27.49,25.03,29.76,36.77,14.62,27.49,24.1,27.98,42.05
01,1123000000,1,60,1473,254,19.82,28.86,33.36,33.32,28.37,5.87,29.66,28.18,23.85,35.6
01,1126000000,0,20,1786,252,31.51,30.67,20.96,31.1,59.42,40.24,33.02,28.43,27.98,58.95
01,1126000000,0,30,2116,398,47.99,38.36,46.64,40.62,64.79,101.56,43.72,40.54,46.48,63.58
01,1126000000,0,40,2067,311,39.2,30.74,42.79,29.52,55.12,43.69,33.97,34.76,33.17,54.08
01,1126000000,0,50,2181,338,44.6,32.31,44.89,31.44,53.48,19.94,34.32,51.67,40.18,48.67
01,1126000000,0,60,1362,246,32.4,23.19,43.3,22.92,27.52,7.1,23.71,29.08,18.72,25.38
01,1126000000,1,20,1795,295,22.71,23.68,28.57,24.24,30.21,51.66,21.27,28.33,30.9,32.3
01,1126000000,1,30,1946,342,22.15,31.46,28.96,35.75,29.22,77.7,30.04,32.35,40.19,32.63
01,1126000000,1,40,2045,298,20.87,35.94,29.31,38.44,38.55,33.07,32.58,33.78,34.05,41.86
01,1126000000,1,50,2273,357,31.15,42.09,41.84,47.93,43.28,16.21,43.74,41.17,37.91,52.52
01,1126000000,1,60,1456,286,23.43,33.5,42.75,37.17,25.59,5.62,33.23,33.87,24.14,34.42
01,1129000000,0,20,1790,528,58.52,64.58,60.81,68.66,41.63,43.91,68.4,43.02,54.92,41.61
01,1129000000,0,30,1741,288,35.8,32.23,26.31,32.25,51.22,86.85,32.91,29.34,31.79,50.32
01,1129000000,0,40,1922,194,25.57,18.27,21.26,17.77,44.03,42.99,20.12,17.66,20.97,40.8
01,1129000000,0,50,1639,171,21.52,14.58,16.05,14.1,35.36,16.27,16.04,20.07,22.14,33.47
01,1129000000,0,60,1081,142,16.55,10.3,17.1,11.29,18.91,6.21,11.66,11.24,11.63,16.22
01,1129000000,1,20,1910,633,50.17,54.19,74.55,58.18,20.34,54.97,48.75,45.43,47.5,27.32
01,1129000000,1,30,1738,260,18.78,25.79,18.74,27.09,24.98,68.6,23.11,23.16,25.63,30.77
01,1129000000,1,40,1887,184,11.64,20.74,13.37,20.09,22.21,30.76,17.14,18.49,18.7,29.66
01,1129000000,1,50,1788,189,14.45,19.27,13.14,20.6,28.3,12.8,19.0,17.47,21.11,32.56
01,1129000000,1,60,1235,179,12.73,18.45,16.15,20.5,21.92,4.96,18.54,18.04,15.1,25.43
01,1130500000,0,20,1625,275,29.14,34.74,29.04,34.14,48.16,40.18,33.77,30.82,36.15,51.5
01,1130500000,0,30,1938,352,43.48,39.45,46.7,40.16,50.91,92.58,45.05,44.99,43.68,54.57
01,1130500000,0,40,2052,271,33.49,26.19,38.18,29.42,49.81,44.63,32.31,30.94,32.59,50.96
01,1130500000,0,50,1961,290,38.83,26.66,38.89,26.92,48.06,18.41,30.35,42.79,38.07,43.23
01,1130500000,0,60,1346,246,32.25,20.44,34.24,23.48,28.63,6.87,22.08,26.05,21.08,25.93
01,1130500000,1,20,1626,316,27.61,28.08,37.35,26.1,24.1,44.94,24.29,34.17,30.76,30.48
01,1130500000,1,30,1784,298,23.25,31.7,25.53,35.23,28.28,69.32,31.45,33.89,35.0,32.55
01,1130500000,1,40,2030,263,19.39,31.48,25.86,33.6,35.25,34.65,30.64,32.63,31.23,41.73
01,1130500000,1,50,2137,327,28.93,34.94,33.02,38.91,38.98,15.52,38.33,38.56,41.02,42.77
01,1130500000,1,60,1631,323,25.45,32.5,34.74,39.87,27.74,6.54,34.4,36.44,28.02,29.81
01,1132000000,0,20,1655,136,17.98,16.67,10.31,16.23,49.17,34.67,19.13,12.92,13.14,50.68
01,1132000000,0,30,1770,227,27.34,21.84,26.4,22.92,49.0,87.88,25.61,27.65,26.76,46.77
01,1132000000,0,40,1966,205,25.53,18.06,25.3,18.41,48.4,42.43,20.57,22.37,22.3,47.39
01,1132000000,0,50,2019,219,27.64,18.25,23.76,17.9,50.91,20.3,20.39,26.74,28.84,42.32
01,1132000000,0,60,1315,184,21.96,13.7,26.74,13.98,24.01,7.53,13.73,16.38,14.75,20.1
01,1132000000,1,20,1658,159,15.83,12.38,14.06,12.35,29.44,43.48,12.55,14.39,13.54,35.28
01,1132000000,1,30,1711,204,14.47,19.4,17.83,22.0,28.67,68.61,19.05,20.8,21.88,31.17
01,1132000000,1,40,2082,210,14.85,24.97,15.76,26.87,35.29,33.88,22.1,23.31,22.79,42.67
01,1132000000,1,50,2228,249,20.31,26.6,20.93,27.14,36.95,16.82,26.45,24.94,30.38,43.96
01,1132000000,1,60,1385,219,16.67,23.09,23.91,23.14,20.64,5.7,21.3,23.75,18.06,24.77
01,1135000000,0,20,2108,269,32.3,27.21,27.15,37.33,58.88,47.81,38.92,19.91,25.62,60.3
01,1135000000,0,30,2108,253,30.78,15.67,32.87,23.27,46.64,116.97,26.4,23.23,27.44,51.76
01,1135000000,0,40,2575,203,24.23,10.52,29.02,16.13,58.29,64.31,18.93,17.47,22.3,54.73
01,1135000000,0,50,2303,207,21.9,9.66,27.45,13.72,42.63,27.68,15.43,19.69,30.51,36.53
01,1135000000,0,60,1316,184,21.22,8.25,32.89,14.42,21.48,8.67,14.0,16.08,16.79,16.6
01,1135000000,1,20,2007,283,21.99,17.65,28.02,23.84,33.4,56.31,21.89,18.65,22.83,38.71
01,1135000000,1,30,2131,235,15.99,13.34,22.15,24.75,28.2,93.21,21.12,18.3,22.53,31.96
01,1135000000,1,40,2795,210,11.93,13.52,18.01,24.48,35.23,48.54,19.01,19.96,19.98,46.02
01,1135000000,1,50,2456,240,16.56,15.28,26.23,24.38,30.08,20.08,22.48,20.02,26.01,36.67
01,1135000000,1,60,1483,248,19.23,14.97,35.05,27.42,19.69,6.51,23.27,28.78,22.64,22.93
01,1138000000,0,20,1895,294,36.23,33.41,22.1,33.27,61.45,43.38,35.66,27.66,29.79,62.57
01,1138000000,0,30,2434,467,57.82,45.18,48.42,43.56,64.58,115.09,48.65,49.55,50.33,60.49
01,1138000000,0,40,2528,303,39.17,28.98,31.03,26.73,65.2,53.29,29.86,29.17,33.92,57.16
01,1138000000,0,50,2261,263,33.1,23.04,25.27,21.41,53.91,22.49,23.63,31.0,35.03,47.51
01,1138000000,0,60,1504,220,26.67,18.63,30.36,17.84,28.45,8.21,18.44,20.02,19.53,23.28
01,1138000000,1,20,1955,350,28.99,28.08,30.9,25.18,26.07,54.82,23.57,30.86,30.52,29.9
01,1138000000,1,30,2414,442,29.85,40.56,30.96,44.81,30.04,92.95,37.14,38.29,43.17,34.99
01,1138000000,1,40,2557,304,20.25,36.0,20.23,33.98,33.82,39.99,27.59,32.16,32.92,41.45
01,1138000000,1,50,2492,297,24.21,33.13,21.97,31.01,46.05,17.94,29.67,28.48,33.83,46.16
01,1138000000,1,60,1739,287,22.0,33.0,29.82,31.8,32.13,6.81,26.63,30.63,25.33,34.23
01,1141000000,0,20,1865,549,59.22,66.21,56.14,69.03,47.51,45.05,65.7,47.13,60.2,42.32
01,1141000000,0,30,1656,346,44.19,40.99,35.24,33.7,40.01,82.09,38.01,33.8,34.75,39.99
01,1141000000,0,40,1778,206,27.66,20.16,20.91,17.34,44.58,38.74,20.89,18.84,19.73,38.98
01,1141000000,0,50,1625,168,20.77,14.84,14.82,12.65,39.91,16.32,14.5,16.49,22.08,34.36
01,1141000000,0,60,1030,142,16.5,12.25,18.44,10.53,21.72,5.65,11.54,10.5,11.02,17.41
01,1141000000,1,20,2115,755,55.36,65.22,97.01,61.65,20.34,62.62,52.27,58.09,55.8,23.62
01,1141000000,1,30,1634,331,24.92,32.48,26.55,29.41,24.76,65.13,28.6,26.39,25.75,25.94
01,1141000000,1,40,1807,205,13.56,23.94,12.24,21.28,25.67,28.7,17.69,19.9,17.7,28.48
01,1141000000,1,50,1746,185,14.43,21.15,12.98,18.3,30.88,12.31,18.6,15.38,20.11,33.17
01,1141000000,1,60,1224,192,14.32,22.26,17.27,20.27,18.43,4.59,17.66,18.9,15.82,21.38
01,1144000000,0,20,1786,599,61.34,72.24,65.7,72.34,41.68,45.8,70.53,60.79,64.73,35.52
01,1144000000,0,30,2191,632,77.66,68.24,65.86,64.58,51.77,110.82,69.7,62.54,62.55,48.59
01,1144000000,0,40,2012,297,43.93,31.9,29.68,30.48,64.09,44.75,37.18,26.86,28.3,56.61
01,1144000000,0,50,1607,164,20.2,12.99,14.08,12.21,39.4,16.75,14.85,15.63,22.19,34.95
01,1144000000,0,60,969,130,14.51,9.76,18.35,10.32,19.05,5.71,11.03,9.28,11.16,17.33
01,1144000000,1,20,2070,760,60.74,67.49,81.13,59.66,22.44,61.94,55.83,70.68,57.45,24.82
01,1144000000,1,30,2296,634,46.5,61.5,52.44,58.05,34.26,92.7,55.12,51.16,48.95,35.98
01,1144000000,1,40,2004,286,21.66,32.2,19.88,30.16,33.7,33.18,27.63,27.79,26.9,35.78
01,1144000000,1,50,1753,188,15.24,19.93,14.01,19.36,32.89,12.08,19.76,15.3,20.39,38.13
01,1144000000,1,60,1172,181,14.11,19.96,17.43,20.09,22.63,4.48,19.25,17.58,14.54,26.36
01,1147000000,0,20,1698,134,16.4,12.84,10.04,13.06,44.99,40.99,16.15,12.2,13.06,45.02
01,1147000000,0,30,1836,250,31.27,19.49,27.12,21.43,43.58,98.31,25.67,25.51,25.2,44.63
01,1147000000,0,40,2328,183,22.26,12.71,21.53,13.71,39.48,59.02,16.48,16.92,19.15,35.3
01,1147000000,0,50,2164,182,21.86,12.43,19.17,12.61,41.09,26.03,15.17,22.1,22.58,32.61
01,1147000000,0,60,1231,148,15.79,9.1,22.11,10.08,18.63,8.31,10.56,12.86,12.24,17.01
01,1147000000,1,20,1642,146,12.23,9.01,11.53,9.66,21.01,46.77,10.13,12.76,11.15,27.88
01,1147000000,1,30,1869,227,15.31,15.8,17.48,20.59,22.98,78.67,18.17,19.72,20.68,26.62
01,1147000000,1,40,2542,189,11.44,16.86,13.85,20.04,24.83,43.54,17.93,19.65,17.64,35.3
01,1147000000,1,50,2196,198,13.66,17.26,15.65,19.82,29.74,16.88,19.27,18.41,20.55,34.51
01,1147000000,1,60,1263,173,12.54,15.71,18.4,18.56,18.69,5.41,17.15,17.28,14.61,22.65
01,1150000000,0,20,1935,364,43.36,33.81,31.01,34.48,55.67,54.23,40.43,37.94,42.78,54.93
01,1150000000,0,30,2644,598,68.5,44.45,59.7,47.14,62.13,147.09,53.3,59.32,69.76,60.28
01,1150000000,0,40,2286,304,40.49,22.62,34.35,25.02,56.46,54.72,30.82,30.5,33.56,49.4
01,1150000000,0,50,2174,256,34.08,18.86,27.54,20.1,48.91,23.62,23.18,32.21,34.18,41.26
01,1150000000,0,60,1430,209,26.57,15.25,30.28,18.3,25.89,8.88,17.35,21.79,18.84,21.34
01,1150000000,1,20,2037,447,33.28,25.8,43.19,30.15,24.01,69.37,28.58,43.17,43.62,35.33
01,1150000000,1,30,2568,548,35.74,36.19,41.5,45.18,33.86,114.94,42.24,47.84,49.62,35.91
01,1150000000,1,40,2311,296,20.72,26.72,22.58,32.59,34.6,39.8,29.15,31.78,30.22,40.04
01,1150000000,1,50,2433,299,23.49,27.56,24.31,31.99,38.27,18.45,29.62,31.13,34.56,45.71
01,1150000000,1,60,1553,255,21.17,24.02,25.88,29.5,23.08,6.58,25.09,30.76,23.41,27.71
01,1153000000,0,20,1945,377,42.21,39.85,41.0,41.49,58.95,48.15,48.8,39.13,45.23,55.55
01,1153000000,0,30,2754,583,74.57,56.37,77.84,56.6,61.33,139.14,67.5,55.14,61.67,60.34
01,1153000000,0,40,2563,346,49.26,33.57,54.2,31.53,59.72,57.64,38.67,32.25,34.33,54.55
01,1153000000,0,50,2455,292,42.79,27.76,42.9,24.43,68.65,24.34,31.68,32.94,31.99,57.87
01,1153000000,0,60,1654,225,30.54,21.52,44.27,19.94,34.15,9.56,22.26,19.3,16.25,31.05
01,1153000000,1,20,1974,441,34.86,32.29,53.38,34.04,30.65,61.98,34.15,38.78,42.57,31.17
01,1153000000,1,30,2563,483,37.04,43.07,51.23,48.54,33.82,106.3,45.33,40.01,43.89,35.67
01,1153000000,1,40,2342,302,19.92,31.21,31.9,34.07,31.85,39.74,30.46,29.1,28.14,40.5
01,1153000000,1,50,2568,307,26.43,33.94,37.77,31.06,41.49,19.49,34.24,26.39,30.61,50.25
01,1153000000,1,60,1717,256,19.71,32.72,39.59,30.91,31.98,6.98,29.06,25.45,18.46,41.85
01,1154500000,0,20,1889,447,53.31,53.14,54.44,53.66,64.98,49.6,54.2,45.26,60.91,63.1
01,1154500000,0,30,2209,602,73.56,64.35,78.13,56.54,59.35,108.91,66.84,64.93,69.71,53.38
01,1154500000,0,40,2223,383,52.52,40.09,53.82,40.23,63.17,47.19,46.05,38.39,37.58,56.16
01,1154500000,0,50,2374,392,56.39,40.16,54.33,39.08,74.93,21.58,42.94,53.72,41.35,60.37
01,1154500000,0,60,1406,261,34.24,25.1,42.64,25.81,30.17,7.62,24.03,27.36,17.9,25.89
01,1154500000,1,20,1696,433,33.45,31.2,58.63,32.36,26.3,51.91,30.93,45.64,49.93,29.71
01,1154500000,1,30,1813,416,29.03,38.33,42.75,42.94,25.54,72.54,37.01,37.4,44.62,26.85
01,1154500000,1,40,2061,328,23.35,38.63,32.01,41.22,32.49,32.59,36.35,37.25,31.7,39.15
01,1154500000,1,50,2332,396,32.62,46.9,43.51,52.98,55.74,16.59,48.11,40.34,40.78,59.46
01,1154500000,1,60,1455,291,24.3,37.5,37.88,39.26,28.56,5.96,34.62,31.76,22.55,37.12
01,1156000000,0,20,1566,462,51.64,43.99,46.43,43.47,43.94,46.6,49.39,42.39,59.76,41.9
01,1156000000,0,30,2121,612,71.26,47.17,72.01,46.41,46.23,120.45,57.97,54.16,69.47,43.87
01,1156000000,0,40,1977,323,45.2,28.53,41.67,29.65,55.47,47.39,35.55,28.14,32.33,49.57
01,1156000000,0,50,1968,241,32.4,21.18,31.78,21.25,53.6,20.07,24.51,26.53,29.71,46.67
01,1156000000,0,60,1217,175,20.65,14.76,28.74,15.07,26.51,7.34,16.08,15.12,13.16,21.47
01,1156000000,1,20,1647,531,35.27,30.05,52.87,31.47,18.7,57.48,30.63,42.98,52.69,19.47
01,1156000000,1,30,1948,536,32.28,37.28,46.85,41.04,24.71,89.66,40.05,40.53,49.55,24.85
01,1156000000,1,40,1801,281,20.17,28.56,25.34,29.97,26.49,31.23,28.76,23.96,26.04,29.46
01,1156000000,1,50,1996,248,19.87,26.22,25.3,27.41,40.57,14.9,27.63,19.91,24.69,42.31
01,1156000000,1,60,1284,201,16.32,22.55,24.43,23.9,23.45,5.23,21.74,19.17,15.12,27.59
01,1159000000,0,20,2343,823,97.36,103.74,88.85,125.33,68.79,57.43,117.71,64.84,82.92,51.78
01,1159000000,0,30,2489,597,75.24,63.05,68.94,61.44,68.96,124.3,68.55,61.45,59.75,58.82
01,1159000000,0,40,2110,267,34.3,23.73,32.86,21.71,52.28,49.45,26.45,22.82,27.01,45.37
01,1159000000,0,50,1933,183,21.49,15.06,21.12,13.22,47.11,20.67,15.93,17.92,24.21,36.53
01,1159000000,0,60,1310,163,16.54,11.48,25.85,10.89,21.67,8.3,11.6,11.94,14.0,16.31
01,1159000000,1,20,2318,851,61.33,63.77,89.82,76.82,31.69,70.84,65.82,62.29,60.28,22.19
01,1159000000,1,30,2357,534,39.47,45.17,48.77,44.16,29.67,99.29,43.48,42.35,44.69,30.71
01,1159000000,1,40,2070,255,17.16,26.67,20.69,25.48,28.34,35.29,22.23,22.58,23.65,28.6
01,1159000000,1,50,2183,211,14.63,20.53,19.07,18.89,31.17,16.23,19.24,17.28,22.31,30.89
01,1159000000,1,60,1522,212,14.63,22.47,23.89,20.16,21.09,6.2,18.63,19.74,17.41,24.03
01,1162000000,0,20,2435,1218,129.61,166.27,128.46,131.45,70.26,62.02,133.13,125.17,173.98,55.97
01,1162000000,0,30,2594,1097,136.07,183.94,124.61,136.36,83.8,107.35,141.01,135.39,137.59,77.19
01,1162000000,0,40,1956,415,62.49,75.35,50.65,54.87,69.15,36.9,59.56,49.56,49.24,65.74
01,1162000000,0,50,1717,254,36.07,35.71,27.89,27.21,53.22,15.06,29.83,33.93,33.84,44.58
01,1162000000,0,60,1199,197,24.45,23.3,28.28,18.68,27.02,6.07,17.99,19.97,17.37,23.34
01,1162000000,1,20,2384,1272,89.01,109.53,144.85,92.11,31.79,73.21,83.41,134.84,144.57,27.63
01,1162000000,1,30,2160,852,67.34,112.24,78.97,85.73,37.45,81.68,81.62,88.92,97.52,37.67
01,1162000000,1,40,1739,338,27.07,58.95,29.04,45.21,35.46,25.51,39.79,38.03,38.87,39.48
